SYS_FIELD_NAME,FIELD_DESC
OP_UNIQUE_CARRIER,"Unique Carrier Code. When the same code has been used by multiple carriers, a numeric suffix is used for earlier users, for example, PA, PA(1), PA(2). Use this field for analysis across a range of years."
ORIGIN_AIRPORT_ID,"Origin Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused."
ORIGIN_AIRPORT_SEQ_ID,"Origin Airport, Airport Sequence ID. An identification number assigned by US DOT to identify a unique airport at a given point of time.  Airport attributes, such as airport name or coordinates, may change over time."
ORIGIN_CITY_MARKET_ID,"Origin Airport, City Market ID. City Market ID is an identification number assigned by US DOT to identify a city market.  Use this field to consolidate airports serving the same city market."
ORIGIN,Origin Airport
DEST_AIRPORT_ID,"Destination Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused."
DEST_AIRPORT_SEQ_ID,"Destination Airport, Airport Sequence ID. An identification number assigned by US DOT to identify a unique airport at a given point of time.  Airport attributes, such as airport name or coordinates, may change over time."
DEST_CITY_MARKET_ID,"Destination Airport, City Market ID. City Market ID is an identification number assigned by US DOT to identify a city market.  Use this field to consolidate airports serving the same city market."
DEST,Destination Airport
CRS_DEP_TIME,CRS Departure Time (local time: hhmm)
DEP_TIME,Actual Departure Time (local time: hhmm)
DEP_DELAY_NEW,Difference in minutes between scheduled and actual departure time. Early departures set to 0.
CRS_ARR_TIME,CRS Arrival Time (local time: hhmm)
ARR_TIME,Actual Arrival Time (local time: hhmm)
ARR_DELAY_NEW,Difference in minutes between scheduled and actual arrival time. Early arrivals set to 0.
CANCELLED,Cancelled Flight Indicator (1=Yes)
